S8,small,"(118.14192089483305, 163.67335460234756)","(126.14192089483305, 171.67335460234756)"
S9,small,"(104.59646048305419, 138.9759397163875)","(112.59646048305419, 146.9759397163875)"
S10,small,"(14.165032373909352, 78.74778740486911)","(22.16503237390935, 86.74778740486911)"
S11,small,"(11.492482780925581, 128.38035236212858)","(19.49248278092558, 136.38035236212858)"
S12,small,"(142.36680746982327, 41.232444245330754)","(150.36680746982327, 49.232444245330754)"
S13,small,"(7.3167722451787816, 20.58525164344656)","(15.316772245178782, 28.58525164344656)"
S14,small,"(4.895476013186782, 162.62941845516414)","(12.895476013186782, 170.62941845516414)"
S15,small,"(119.4217805347419, 103.22353888886117)","(127.4217805347419, 111.22353888886117)"
S16,small,"(15.35472796843175, 68.4813272070341)","(23.35472796843175, 76.4813272070341)"
S17,small,"(107.63021626174479, 2.617151875844604)","(115.63021626174479, 10.617151875844604)"
S18,small,"(57.912500102260985, 169.6756369784858)","(65.91250010226099, 177.6756369784858)"
S19,small,"(97.48768979576518, 18.49661527235783)","(105.48768979576518, 26.49661527235783)"
S20,small,"(148.36374504747832, 83.55833305190758)","(156.36374504747832, 91.55833305190758)"
S21,small,"(91.12147434719047, 136.57093315596904)","(99.12147434719047, 144.57093315596904)"
S22,small,"(151.77186552792514, 133.04827458003945)","(159.77186552792514, 141.04827458003945)"
S23,small,"(28.398358853663023, 64.47296586519987)","(36.39835885366303, 72.47296586519987)"
S24,small,"(50.71855343048605, 24.559302428227095)","(58.71855343048605, 32.5593024282271)"
S25,small,"(31.596153222050084, 84.53533499957639)","(39.596153222050084, 92.53533499957639)"
S26,small,"(125.65429044449988, 128.13692161245)","(133.65429044449988, 136.13692161245)"
S27,small,"(21.522362022459443, 15.76501917274649)","(29.522362022459443, 23.76501917274649)"
S28,small,"(56.874525968466244, 41.09239417254255)","(64.87452596846624, 49.09239417254255)"
S29,small,"(119.58451174187114, 63.48362202559003)","(127.58451174187114, 71.48362202559002)"
S30,small,"(129.79010777318345, 60.68854652927517)","(137.79010777318345, 68.68854652927517)"
S31,small,"(85.83534250572062, 158.7511523339641)","(93.83534250572062, 166.7511523339641)"
